fire_year,report_date,county,latitude,longitude,total_acres,general_cause
1977,8/3/77,Clatsop,45.94529167,-122.3615833,483,Debris Burning
1977,8/9/77,Tillamook,45.30860556,-122.3423333,5,Debris Burning
1977,8/9/77,Tillamook,45.26605833,-122.2257389,2,Debris Burning
1977,8/10/77,Lincoln,44.60153889,-122.0906694,10,Debris Burning
1977,8/18/77,Clackamas,45.06388333,-121.3074139,2,Debris Burning
1977,8/24/77,Douglas,43.35230556,-122.5041556,1,Debris Burning
1977,9/7/77,Benton,44.68706944,-122.5714028,25,Debris Burning
1977,10/13/77,Douglas,43.53761667,-122.2819528,2,Debris Burning
1977,10/22/77,Lane,43.55875278,-121.0980389,8,Debris Burning
1977,10/22/77,Washington,45.52824444,-122.5880972,4,Debris Burning
1977,10/23/77,Polk,45.00836389,-122.2229861,95,Debris Burning
1977,10/23/77,Lane,43.57373611,-121.1690611,35,Debris Burning
1978,3/18/78,Lane,43.58619167,-121.0970278,11,Debris Burning
1978,3/19/78,Lane,44.14802222,-122.3955333,7,Debris Burning
1978,4/12/78,Josephine,42.60076944,-122.3675222,1,Debris Burning
1978,5/9/78,Deschutes,44.25491389,-120.4358444,9,Debris Burning
1978,5/12/78,Klamath,42.61019444,-120.2298167,3,Debris Burning
1978,5/12/78,Jackson,42.01710278,-121.6414083,3,Debris Burning
1978,6/1/78,Columbia,45.960175,-122.77355,2,Debris Burning
1978,6/5/78,Lincoln,44.45521111,-122.1884056,3,Debris Burning
1978,6/6/78,Klamath,43.13145,-120.1261472,6,Debris Burning
1978,6/10/78,Jackson,42.44075,-122.8979306,1,Debris Burning
1978,6/12/78,Josephine,42.35366944,-122.7022139,10,Debris Burning
1978,6/19/78,Baker,44.70898889,-117.8971194,1,Debris Burning
1978,6/30/78,Crook,44.4546,-119.2436111,2,Debris Burning
1978,7/9/78,Lincoln,44.57368333,-123.93335,1,Debris Burning
1978,7/18/78,Curry,42.22933611,-123.6320583,1,Debris Burning
1978,7/21/78,Tillamook,45.251925,-122.4439444,20,Debris Burning
1978,7/25/78,Lane,44.00635833,-122.002925,1,Debris Burning
1978,7/30/78,Jackson,42.39663889,-122.9962667,17,Debris Burning
1978,8/2/78,Clatsop,45.93104444,-122.3826528,3,Debris Burning
1978,8/7/78,Tillamook,45.77609167,-122.2086389,2,Debris Burning
1978,8/7/78,Tillamook,45.61586667,-122.0841083,23,Debris Burning
